match_no,date,batting_team,striker,venue,runs,balls,fours,sixes,dismissed,sr
30,2026-04-20,GT,Ashok Sharma,Narendra Modi Stadium,1,3,0,0,0,33.33
30,2026-04-20,GT,Glenn Phillips,Narendra Modi Stadium,6,8,0,0,1,75.0
30,2026-04-20,GT,Jos Buttler,Narendra Modi Stadium,5,6,1,0,1,83.33
30,2026-04-20,GT,Kagiso Rabada,Narendra Modi Stadium,12,14,2,0,1,85.71
30,2026-04-20,GT,Mohammed Siraj,Narendra Modi Stadium,0,3,0,0,1,0.0
30,2026-04-20,GT,Rahul Tewatia,Narendra Modi Stadium,8,11,1,0,1,72.73
30,2026-04-20,GT,Rashid Khan,Narendra Modi Stadium,4,6,0,0,1,66.67
30,2026-04-20,GT,Sai Sudharsan,Narendra Modi Stadium,0,1,0,0,1,0.0
30,2026-04-20,GT,Shahrukh Khan,Narendra Modi Stadium,17,13,1,1,1,130.77
30,2026-04-20,GT,Shubman Gill,Narendra Modi Stadium,14,13,3,0,1,107.69
30,2026-04-20,GT,Washington Sundar,Narendra Modi Stadium,26,17,5,0,1,152.94
30,2026-04-20,MI,Danish Malewar,Narendra Modi Stadium,2,4,0,0,1,50.0
30,2026-04-20,MI,Hardik Pandya,Narendra Modi Stadium,15,16,1,0,1,93.75
30,2026-04-20,MI,Naman Dhir,Narendra Modi Stadium,45,32,6,1,1,140.62
30,2026-04-20,MI,Quinton de Kock,Narendra Modi Stadium,13,11,1,1,1,118.18
30,2026-04-20,MI,Sherfane Rutherford,Narendra Modi Stadium,1,2,0,0,0,50.0
30,2026-04-20,MI,Suryakumar Yadav,Narendra Modi Stadium,15,10,1,1,1,150.0
30,2026-04-20,MI,Tilak Varma,Narendra Modi Stadium,101,45,8,7,0,224.44
31,2026-04-21,DC,Ashutosh Sharma,Rajiv Gandhi International Stadium,14,10,2,0,1,140.0
31,2026-04-21,DC,Axar Patel,Rajiv Gandhi International Stadium,2,3,0,0,1,66.67
31,2026-04-21,DC,David Miller,Rajiv Gandhi International Stadium,0,1,0,0,1,0.0
31,2026-04-21,DC,Kuldeep Yadav,Rajiv Gandhi International Stadium,1,2,0,0,0,50.0
31,2026-04-21,DC,Lungi Ngidi,Rajiv Gandhi International Stadium,0,1,0,0,1,0.0
31,2026-04-21,DC,Nitish Rana,Rajiv Gandhi International Stadium,57,30,7,3,1,190.0
31,2026-04-21,DC,Pathum Nissanka,Rajiv Gandhi International Stadium,8,6,0,1,1,133.33
31,2026-04-21,DC,Rahul,Rajiv Gandhi International Stadium,37,23,1,3,1,160.87
31,2026-04-21,DC,Sameer Rizvi,Rajiv Gandhi International Stadium,41,28,2,2,1,146.43
31,2026-04-21,DC,Tristan Stubbs,Rajiv Gandhi International Stadium,27,16,3,1,1,168.75
31,2026-04-21,SRH,Abhishek Sharma,Rajiv Gandhi International Stadium,135,68,10,10,1,198.53
31,2026-04-21,SRH,Heinrich Klaasen,Rajiv Gandhi International Stadium,37,13,3,3,0,284.62
31,2026-04-21,SRH,Ishan Kishan,Rajiv Gandhi International Stadium,25,13,2,1,0,192.31
31,2026-04-21,SRH,Travis Head,Rajiv Gandhi International Stadium,37,26,2,2,1,142.31
32,2026-04-22,LSG,Aiden Markram,Ekana Cricket Stadium,0,6,0,0,1,0.0
32,2026-04-22,LSG,Ayush Badoni,Ekana Cricket Stadium,0,1,0,0,1,0.0
32,2026-04-22,LSG,Digvesh Singh Rathi,Ekana Cricket Stadium,2,2,0,0,0,100.0
32,2026-04-22,LSG,Himmat Singh,Ekana Cricket Stadium,15,15,0,1,1,100.0
32,2026-04-22,LSG,Mayank Yadav,Ekana Cricket Stadium,5,5,1,0,1,100.0
32,2026-04-22,LSG,Mitchell Marsh,Ekana Cricket Stadium,55,41,6,2,1,134.15
32,2026-04-22,LSG,Mohammed Shami,Ekana Cricket Stadium,6,4,0,1,1,150.0
32,2026-04-22,LSG,Mohsin Khan,Ekana Cricket Stadium,0,3,0,0,1,0.0
32,2026-04-22,LSG,Mukul Choudhary,Ekana Cricket Stadium,7,3,0,1,1,233.33
32,2026-04-22,LSG,Nicholas Pooran,Ekana Cricket Stadium,22,25,3,0,1,88.0
32,2026-04-22,LSG,Rishabh Pant,Ekana Cricket Stadium,0,3,0,0,1,0.0
32,2026-04-22,RR,Dhruv Jurel,Ekana Cricket Stadium,0,1,0,0,1,0.0
32,2026-04-22,RR,Donovan Ferreira,Ekana Cricket Stadium,20,19,2,0,1,105.26
32,2026-04-22,RR,Ravindra Jadeja,Ekana Cricket Stadium,43,29,2,1,0,148.28
32,2026-04-22,RR,Riyan Parag,Ekana Cricket Stadium,20,19,2,1,1,105.26
32,2026-04-22,RR,Shimron Hetmyer,Ekana Cricket Stadium,22,18,2,1,1,122.22
32,2026-04-22,RR,Shubham Dubey,Ekana Cricket Stadium,19,11,3,0,0,172.73
32,2026-04-22,RR,Vaibhav Sooryavanshi,Ekana Cricket Stadium,8,11,2,0,1,72.73
32,2026-04-22,RR,Yashasvi Jaiswal,Ekana Cricket Stadium,22,12,4,0,1,183.33
33,2026-04-23,CSK,Akeal Hosein,Wankhede Stadium,2,2,0,0,0,100.0
33,2026-04-23,CSK,Dewald Brevis,Wankhede Stadium,21,11,1,2,1,190.91
33,2026-04-23,CSK,Jamie Overton,Wankhede Stadium,15,7,2,1,1,214.29
33,2026-04-23,CSK,Kartik Sharma,Wankhede Stadium,18,19,0,2,1,94.74
33,2026-04-23,CSK,Ruturaj Gaikwad,Wankhede Stadium,22,14,3,1,1,157.14
33,2026-04-23,CSK,Sanju Samson,Wankhede Stadium,101,54,10,6,0,187.04
33,2026-04-23,CSK,Sarfaraz Khan,Wankhede Stadium,14,8,3,0,1,175.0
33,2026-04-23,CSK,Shivam Dube,Wankhede Stadium,5,8,0,0,1,62.5
33,2026-04-23,MI,Ashwani Kumar,Wankhede Stadium,1,6,0,0,0,16.67
33,2026-04-23,MI,Danish Malewar,Wankhede Stadium,0,1,0,0,1,0.0
33,2026-04-23,MI,Hardik Pandya,Wankhede Stadium,1,2,0,0,1,50.0
33,2026-04-23,MI,Jasprit Bumrah,Wankhede Stadium,2,5,0,0,1,40.0
33,2026-04-23,MI,Krish Bhagat,Wankhede Stadium,7,15,0,0,1,46.67
33,2026-04-23,MI,Naman Dhir,Wankhede Stadium,0,3,0,0,1,0.0
33,2026-04-23,MI,Quinton de Kock,Wankhede Stadium,7,10,0,1,1,70.0
33,2026-04-23,MI,Shardul Thakur,Wankhede Stadium,6,12,0,0,1,50.0
33,2026-04-23,MI,Sherfane Rutherford,Wankhede Stadium,0,1,0,0,1,0.0
33,2026-04-23,MI,Suryakumar Yadav,Wankhede Stadium,36,30,5,0,1,120.0
33,2026-04-23,MI,Tilak Varma,Wankhede Stadium,37,29,5,0,1,127.59
34,2026-04-24,GT,Jason Holder,M. Chinnaswamy Stadium,23,10,1,2,0,230.0
34,2026-04-24,GT,Jos Buttler,M. Chinnaswamy Stadium,25,16,2,1,1,156.25
34,2026-04-24,GT,Sai Sudharsan,M. Chinnaswamy Stadium,100,58,11,5,1,172.41
34,2026-04-24,GT,Shubman Gill,M. Chinnaswamy Stadium,32,24,2,1,1,133.33
34,2026-04-24,GT,Washington Sundar,M. Chinnaswamy Stadium,19,12,1,1,0,158.33
34,2026-04-24,RCB,Devdutt Padikkal,M. Chinnaswamy Stadium,55,27,2,6,1,203.7
34,2026-04-24,RCB,Jacob Bethell,M. Chinnaswamy Stadium,14,10,3,0,1,140.0
34,2026-04-24,RCB,Jitesh Sharma,M. Chinnaswamy Stadium,10,6,1,1,1,166.67
34,2026-04-24,RCB,Krunal Pandya,M. Chinnaswamy Stadium,23,12,3,1,0,191.67
34,2026-04-24,RCB,Rajat Patidar,M. Chinnaswamy Stadium,8,5,0,1,1,160.0
34,2026-04-24,RCB,Tim David,M. Chinnaswamy Stadium,10,9,0,1,0,111.11
34,2026-04-24,RCB,Virat Kohli,M. Chinnaswamy Stadium,81,44,8,4,1,184.09
35,2026-04-25,DC,David Miller,Arun Jaitley Stadium,3,3,0,0,0,100.0
35,2026-04-25,DC,Nitish Rana,Arun Jaitley Stadium,91,44,11,4,1,206.82
35,2026-04-25,DC,Pathum Nissanka,Arun Jaitley Stadium,11,7,2,0,1,157.14
35,2026-04-25,DC,Rahul,Arun Jaitley Stadium,152,67,16,9,0,226.87
35,2026-04-25,PBKS,Cooper Connolly,Arun Jaitley Stadium,17,10,1,1,1,170.0
35,2026-04-25,PBKS,Nehal Wadhera,Arun Jaitley Stadium,25,15,3,1,1,166.67
35,2026-04-25,PBKS,Prabhsimran Singh,Arun Jaitley Stadium,76,26,9,5,1,292.31
35,2026-04-25,PBKS,Priyansh Arya,Arun Jaitley Stadium,43,17,2,5,1,252.94
35,2026-04-25,PBKS,Shashank Singh,Arun Jaitley Stadium,19,10,2,1,0,190.0
35,2026-04-25,PBKS,Shreyas Iyer,Arun Jaitley Stadium,71,36,3,7,0,197.22
36,2026-04-25,RR,Dhruv Jurel,Sawai Mansingh Stadium,50,34,8,1,1,147.06
36,2026-04-25,RR,Donovan Ferreira,Sawai Mansingh Stadium,33,16,3,3,1,206.25
36,2026-04-25,RR,Jofra Archer,Sawai Mansingh Stadium,2,2,0,0,0,100.0
36,2026-04-25,RR,Ravindra Jadeja,Sawai Mansingh Stadium,4,3,1,0,0,133.33
36,2026-04-25,RR,Riyan Parag,Sawai Mansingh Stadium,7,9,0,0,1,77.78
36,2026-04-25,RR,Shimron Hetmyer,Sawai Mansingh Stadium,11,10,1,0,1,110.0
36,2026-04-25,RR,Vaibhav Sooryavanshi,Sawai Mansingh Stadium,103,37,5,12,1,278.38
36,2026-04-25,RR,Yashasvi Jaiswal,Sawai Mansingh Stadium,10,8,2,0,1,125.0
36,2026-04-25,SRH,Abhishek Sharma,Sawai Mansingh Stadium,57,29,11,1,1,196.55
36,2026-04-25,SRH,Aniket Verma,Sawai Mansingh Stadium,1,1,0,0,0,100.0
36,2026-04-25,SRH,Heinrich Klaasen,Sawai Mansingh Stadium,29,24,3,1,1,120.83
36,2026-04-25,SRH,Ishan Kishan,Sawai Mansingh Stadium,74,31,11,3,1,238.71
36,2026-04-25,SRH,Nitish Reddy,Sawai Mansingh Stadium,36,18,2,3,1,200.0
36,2026-04-25,SRH,Salil Arora,Sawai Mansingh Stadium,8,3,0,1,0,266.67
36,2026-04-25,SRH,Travis Head,Sawai Mansingh Stadium,6,5,0,1,1,120.0
37,2026-04-26,CSK,Dewald Brevis,MA Chidambaram Stadium,2,9,0,0,1,22.22
37,2026-04-26,CSK,Jamie Overton,MA Chidambaram Stadium,18,6,3,1,1,300.0
37,2026-04-26,CSK,Kartik Sharma,MA Chidambaram Stadium,15,9,3,0,1,166.67
37,2026-04-26,CSK,Ruturaj Gaikwad,MA Chidambaram Stadium,74,60,6,4,0,123.33
37,2026-04-26,CSK,Sanju Samson,MA Chidambaram Stadium,11,15,2,0,1,73.33
37,2026-04-26,CSK,Sarfaraz Khan,MA Chidambaram Stadium,0,1,0,0,1,0.0
37,2026-04-26,CSK,Shivam Dube,MA Chidambaram Stadium,22,17,3,1,1,129.41
37,2026-04-26,CSK,Urvil Patel,MA Chidambaram Stadium,4,3,1,0,1,133.33
37,2026-04-26,GT,Jos Buttler,MA Chidambaram Stadium,39,30,4,1,0,130.0
37,2026-04-26,GT,Sai Sudharsan,MA Chidambaram Stadium,87,46,4,7,1,189.13
37,2026-04-26,GT,Shubman Gill,MA Chidambaram Stadium,33,23,1,3,0,143.48
37,2026-04-26,GT,Washington Sundar,MA Chidambaram Stadium,1,1,0,0,0,100.0
38,2026-04-26,KKR,Ajinkya Rahane,Ekana Cricket Stadium,10,15,0,1,1,66.67
38,2026-04-26,KKR,Angkrish Raghuvanshi,Ekana Cricket Stadium,9,8,1,0,1,112.5
38,2026-04-26,KKR,Anukul Roy,Ekana Cricket Stadium,0,1,0,0,1,0.0
38,2026-04-26,KKR,Cameron Green,Ekana Cricket Stadium,34,21,0,3,1,161.9
38,2026-04-26,KKR,Ramandeep Singh,Ekana Cricket Stadium,6,11,0,0,1,54.55
38,2026-04-26,KKR,Rinku Singh,Ekana Cricket Stadium,87,52,8,5,0,167.31
38,2026-04-26,KKR,Rovman Powell,Ekana Cricket Stadium,1,4,0,0,1,25.0
38,2026-04-26,KKR,Sunil Narine,Ekana Cricket Stadium,4,6,0,0,0,66.67
38,2026-04-26,KKR,Tim Seifert,Ekana Cricket Stadium,0,3,0,0,1,0.0
38,2026-04-26,LSG,Aiden Markram,Ekana Cricket Stadium,31,28,2,1,1,110.71
38,2026-04-26,LSG,Ayush Badoni,Ekana Cricket Stadium,24,19,0,2,1,126.32
38,2026-04-26,LSG,George Linde,Ekana Cricket Stadium,8,4,2,0,1,200.0
38,2026-04-26,LSG,Himmat Singh,Ekana Cricket Stadium,19,10,2,1,1,190.0
38,2026-04-26,LSG,Mitchell Marsh,Ekana Cricket Stadium,2,3,0,0,1,66.67
38,2026-04-26,LSG,Mohammed Shami,Ekana Cricket Stadium,11,6,1,1,0,183.33
38,2026-04-26,LSG,Mukul Choudhary,Ekana Cricket Stadium,1,2,0,0,1,50.0
38,2026-04-26,LSG,Nicholas Pooran,Ekana Cricket Stadium,9,13,0,1,1,69.23
38,2026-04-26,LSG,Prince Yadav,Ekana Cricket Stadium,0,1,0,0,0,0.0
38,2026-04-26,LSG,Rishabh Pant,Ekana Cricket Stadium,43,39,4,1,1,110.26
39,2026-04-27,DC,Abishek Porel,Arun Jaitley Stadium,30,33,3,0,1,90.91
39,2026-04-27,DC,Axar Patel,Arun Jaitley Stadium,0,3,0,0,1,0.0
39,2026-04-27,DC,David Miller,Arun Jaitley Stadium,19,18,3,0,1,105.56
39,2026-04-27,DC,Dushmantha Chameera,Arun Jaitley Stadium,0,3,0,0,0,0.0
39,2026-04-27,DC,Kuldeep Yadav,Arun Jaitley Stadium,3,11,0,0,1,27.27
39,2026-04-27,DC,Kyle Jamieson,Arun Jaitley Stadium,12,13,1,1,1,92.31
39,2026-04-27,DC,Nitish Rana,Arun Jaitley Stadium,1,9,0,0,1,11.11
39,2026-04-27,DC,Rahul,Arun Jaitley Stadium,1,3,0,0,1,33.33
39,2026-04-27,DC,Sahil Parakh,Arun Jaitley Stadium,0,2,0,0,1,0.0
39,2026-04-27,DC,Sameer Rizvi,Arun Jaitley Stadium,0,1,0,0,1,0.0
39,2026-04-27,DC,Tristan Stubbs,Arun Jaitley Stadium,5,3,1,0,1,166.67
39,2026-04-27,RCB,Devdutt Padikkal,Arun Jaitley Stadium,34,13,3,3,0,261.54
39,2026-04-27,RCB,Jacob Bethell,Arun Jaitley Stadium,20,11,1,2,1,181.82
39,2026-04-27,RCB,Virat Kohli,Arun Jaitley Stadium,23,15,1,2,0,153.33
40,2026-04-28,PBKS,Cooper Connolly,New PCA Cricket Stadium,30,14,2,3,1,214.29
40,2026-04-28,PBKS,Marcus Stoinis,New PCA Cricket Stadium,62,22,4,6,0,281.82
40,2026-04-28,PBKS,Prabhsimran Singh,New PCA Cricket Stadium,59,44,6,1,1,134.09
40,2026-04-28,PBKS,Priyansh Arya,New PCA Cricket Stadium,29,11,5,1,1,263.64
40,2026-04-28,PBKS,Shreyas Iyer,New PCA Cricket Stadium,30,27,1,1,1,111.11
40,2026-04-28,PBKS,Suryansh Shedge,New PCA Cricket Stadium,3,2,0,0,0,150.0
40,2026-04-28,RR,Dhruv Jurel,New PCA Cricket Stadium,16,20,0,1,1,80.0
40,2026-04-28,RR,Donovan Ferreira,New PCA Cricket Stadium,52,26,6,3,0,200.0
40,2026-04-28,RR,Riyan Parag,New PCA Cricket Stadium,29,16,2,2,1,181.25
40,2026-04-28,RR,Shubham Dubey,New PCA Cricket Stadium,31,12,3,2,0,258.33
40,2026-04-28,RR,Vaibhav Sooryavanshi,New PCA Cricket Stadium,43,16,3,5,1,268.75
40,2026-04-28,RR,Yashasvi Jaiswal,New PCA Cricket Stadium,51,27,7,1,1,188.89
41,2026-04-29,MI,Hardik Pandya,Wankhede Stadium,31,15,2,2,1,206.67
41,2026-04-29,MI,Naman Dhir,Wankhede Stadium,22,17,3,0,1,129.41
41,2026-04-29,MI,Robin Minz,Wankhede Stadium,1,1,0,0,0,100.0
41,2026-04-29,MI,Ryan Rickelton,Wankhede Stadium,123,55,10,8,0,223.64
41,2026-04-29,MI,Suryakumar Yadav,Wankhede Stadium,5,5,1,0,1,100.0
41,2026-04-29,MI,Tilak Varma,Wankhede Stadium,7,5,0,1,1,140.0
41,2026-04-29,MI,Will Jacks,Wankhede Stadium,46,22,5,3,1,209.09
41,2026-04-29,SRH,Abhishek Sharma,Wankhede Stadium,45,24,4,3,1,187.5
41,2026-04-29,SRH,Heinrich Klaasen,Wankhede Stadium,65,30,7,4,0,216.67
41,2026-04-29,SRH,Ishan Kishan,Wankhede Stadium,0,1,0,0,1,0.0
41,2026-04-29,SRH,Nitish Reddy,Wankhede Stadium,21,17,3,0,1,123.53
41,2026-04-29,SRH,Salil Arora,Wankhede Stadium,30,10,2,3,0,300.0
41,2026-04-29,SRH,Travis Head,Wankhede Stadium,76,30,4,8,1,253.33
42,2026-04-30,GT,Jason Holder,Narendra Modi Stadium,12,10,0,1,1,120.0
42,2026-04-30,GT,Jos Buttler,Narendra Modi Stadium,39,19,2,4,1,205.26
42,2026-04-30,GT,Rahul Tewatia,Narendra Modi Stadium,27,17,4,0,0,158.82
42,2026-04-30,GT,Rashid Khan,Narendra Modi Stadium,7,6,1,0,0,116.67
42,2026-04-30,GT,Sai Sudharsan,Narendra Modi Stadium,6,5,1,0,1,120.0
42,2026-04-30,GT,Shahrukh Khan,Narendra Modi Stadium,8,8,1,0,1,100.0
42,2026-04-30,GT,Shubman Gill,Narendra Modi Stadium,43,18,4,3,1,238.89
42,2026-04-30,GT,Washington Sundar,Narendra Modi Stadium,12,12,0,1,1,100.0
42,2026-04-30,RCB,Bhuvneshwar Kumar,Narendra Modi Stadium,15,15,2,0,0,100.0
42,2026-04-30,RCB,Devdutt Padikkal,Narendra Modi Stadium,40,24,5,2,1,166.67
42,2026-04-30,RCB,Jacob Bethell,Narendra Modi Stadium,5,5,1,0,1,100.0
42,2026-04-30,RCB,Jitesh Sharma,Narendra Modi Stadium,1,3,0,0,1,33.33
42,2026-04-30,RCB,Josh Hazlewood,Narendra Modi Stadium,0,1,0,0,1,0.0
42,2026-04-30,RCB,Krunal Pandya,Narendra Modi Stadium,4,4,1,0,1,100.0
42,2026-04-30,RCB,Rajat Patidar,Narendra Modi Stadium,19,15,2,1,1,126.67
42,2026-04-30,RCB,Romario Shepherd,Narendra Modi Stadium,17,15,0,2,1,113.33
42,2026-04-30,RCB,Tim David,Narendra Modi Stadium,9,6,0,1,1,150.0
42,2026-04-30,RCB,Venkatesh Iyer,Narendra Modi Stadium,12,15,1,0,1,80.0
42,2026-04-30,RCB,Virat Kohli,Narendra Modi Stadium,28,13,5,1,1,215.38
43,2026-05-01,DC,Ashutosh Sharma,Sawai Mansingh Stadium,25,15,4,0,0,166.67
43,2026-05-01,DC,Nitish Rana,Sawai Mansingh Stadium,33,17,3,2,1,194.12
43,2026-05-01,DC,Pathum Nissanka,Sawai Mansingh Stadium,62,33,6,3,1,187.88
43,2026-05-01,DC,Rahul,Sawai Mansingh Stadium,75,40,6,5,1,187.5
43,2026-05-01,DC,Tristan Stubbs,Sawai Mansingh Stadium,18,11,1,1,0,163.64
43,2026-05-01,RR,Dhruv Jurel,Sawai Mansingh Stadium,42,30,4,1,1,140.0
43,2026-05-01,RR,Donovan Ferreira,Sawai Mansingh Stadium,47,14,2,6,0,335.71
43,2026-05-01,RR,Jofra Archer,Sawai Mansingh Stadium,1,1,0,0,0,100.0
43,2026-05-01,RR,Ravindra Jadeja,Sawai Mansingh Stadium,20,14,1,1,1,142.86
43,2026-05-01,RR,Riyan Parag,Sawai Mansingh Stadium,90,50,8,5,1,180.0
43,2026-05-01,RR,Shubham Dubey,Sawai Mansingh Stadium,6,6,1,0,1,100.0
43,2026-05-01,RR,Vaibhav Sooryavanshi,Sawai Mansingh Stadium,4,2,1,0,1,200.0
43,2026-05-01,RR,Yashasvi Jaiswal,Sawai Mansingh Stadium,6,3,0,1,1,200.0
44,2026-05-02,CSK,Kartik Sharma,MA Chidambaram Stadium,54,40,4,3,0,135.0
44,2026-05-02,CSK,Ruturaj Gaikwad,MA Chidambaram Stadium,67,48,5,2,0,139.58
44,2026-05-02,CSK,Sanju Samson,MA Chidambaram Stadium,11,9,2,0,1,122.22
44,2026-05-02,CSK,Urvil Patel,MA Chidambaram Stadium,24,12,2,2,1,200.0
44,2026-05-02,MI,Hardik Pandya,MA Chidambaram Stadium,18,23,2,0,1,78.26
44,2026-05-02,MI,Krish Bhagat,MA Chidambaram Stadium,3,6,0,0,0,50.0
44,2026-05-02,MI,Naman Dhir,MA Chidambaram Stadium,57,37,4,3,1,154.05
44,2026-05-02,MI,Robin Minz,MA Chidambaram Stadium,5,3,1,0,1,166.67
44,2026-05-02,MI,Ryan Rickelton,MA Chidambaram Stadium,37,24,0,5,1,154.17
44,2026-05-02,MI,Suryakumar Yadav,MA Chidambaram Stadium,21,12,3,1,1,175.0
44,2026-05-02,MI,Tilak Varma,MA Chidambaram Stadium,5,8,0,0,1,62.5
44,2026-05-02,MI,Trent Boult,MA Chidambaram Stadium,7,2,0,1,0,350.0
44,2026-05-02,MI,Will Jacks,MA Chidambaram Stadium,1,5,0,0,1,20.0
45,2026-05-03,KKR,Ajinkya Rahane,Rajiv Gandhi International Stadium,43,36,4,1,1,119.44
45,2026-05-03,KKR,Angkrish Raghuvanshi,Rajiv Gandhi International Stadium,59,47,5,2,1,125.53
