bowler,venue,wickets,runs,legal_balls,innings,overs,economy
AM Ghazanfar,Barsapara Stadium,2,21,12,1,2.0,10.5
AM Ghazanfar,Eden Gardens,1,25,24,1,4.0,6.25
AM Ghazanfar,MA Chidambaram Stadium,1,40,24,1,4.0,10.0
AM Ghazanfar,Narendra Modi Stadium,2,17,17,1,2.83,6.01
AM Ghazanfar,Shaheed Veer Narayan Singh Stadium,1,33,18,1,3.0,11.0
AM Ghazanfar,Wankhede Stadium,8,254,138,6,23.0,11.04
Abdul Samad,Ekana Cricket Stadium,0,6,1,1,0.17,35.29
Abhinandan Singh,Barsapara Stadium,0,54,18,1,3.0,18.0
Abhinandan Singh,M. Chinnaswamy Stadium,3,68,40,2,6.67,10.19
Abhishek Sharma,Eden Gardens,0,15,6,1,1.0,15.0
Abhishek Sharma,New PCA Cricket Stadium,0,7,5,1,0.83,8.43
Abhishek Sharma,Rajiv Gandhi International Stadium,0,27,18,2,3.0,9.0
Adam Milne,Arun Jaitley Stadium,0,42,20,1,3.33,12.61
Aiden Markram,Ekana Cricket Stadium,0,37,28,3,4.67,7.92
Aiden Markram,MA Chidambaram Stadium,0,13,2,1,0.33,39.39
Aiden Markram,New PCA Cricket Stadium,0,32,6,1,1.0,32.0
Akash Singh,Ekana Cricket Stadium,3,26,24,1,4.0,6.5
Akash Singh,Sawai Mansingh Stadium,1,53,18,1,3.0,17.67
Akeal Hosein,Arun Jaitley Stadium,1,19,24,1,4.0,4.75
Akeal Hosein,MA Chidambaram Stadium,4,162,102,5,17.0,9.53
Akeal Hosein,Wankhede Stadium,4,17,24,1,4.0,4.25
Anrich Nortje,Ekana Cricket Stadium,0,39,24,1,4.0,9.75
Anshul Kamboj,Arun Jaitley Stadium,1,49,24,1,4.0,12.25
Anshul Kamboj,Barsapara Stadium,2,27,18,1,3.0,9.0
Anshul Kamboj,Ekana Cricket Stadium,0,63,16,1,2.67,23.6
Anshul Kamboj,M. Chinnaswamy Stadium,1,52,25,1,4.17,12.47
Anshul Kamboj,MA Chidambaram Stadium,14,249,163,7,27.17,9.16
Anshul Kamboj,Narendra Modi Stadium,2,58,24,1,4.0,14.5
Anshul Kamboj,Rajiv Gandhi International Stadium,3,24,18,1,3.0,8.0
Anshul Kamboj,Wankhede Stadium,1,10,18,1,3.0,3.33
Anukul Roy,Arun Jaitley Stadium,1,31,24,1,4.0,7.75
Anukul Roy,Ekana Cricket Stadium,1,20,12,1,2.0,10.0
Anukul Roy,Eden Gardens,4,96,60,5,10.0,9.6
Anukul Roy,MA Chidambaram Stadium,1,21,18,1,3.0,7.0
Anukul Roy,Narendra Modi Stadium,0,37,18,1,3.0,12.33
Anukul Roy,Rajiv Gandhi International Stadium,1,8,6,1,1.0,8.0
Anukul Roy,Shaheed Veer Narayan Singh Stadium,0,36,18,1,3.0,12.0
Anukul Roy,Wankhede Stadium,0,15,7,1,1.17,12.82
Arjun Tendulkar,Ekana Cricket Stadium,1,36,24,1,4.0,9.0
Arshad Khan,Eden Gardens,0,22,6,1,1.0,22.0
Arshad Khan,MA Chidambaram Stadium,2,43,24,1,4.0,10.75
Arshad Khan,Narendra Modi Stadium,6,107,74,4,12.33,8.68
Arshdeep Singh,Arun Jaitley Stadium,1,49,24,1,4.0,12.25
Arshdeep Singh,Ekana Cricket Stadium,0,51,18,1,3.0,17.0
Arshdeep Singh,Eden Gardens,0,16,12,1,2.0,8.0
Arshdeep Singh,HPCA Stadium,3,93,72,3,12.0,7.75
Arshdeep Singh,MA Chidambaram Stadium,0,42,24,1,4.0,10.5
Arshdeep Singh,New PCA Cricket Stadium,4,199,97,4,16.17,12.31
Arshdeep Singh,Narendra Modi Stadium,2,24,24,1,4.0,6.0
Arshdeep Singh,Rajiv Gandhi International Stadium,1,43,24,1,4.0,10.75
Arshdeep Singh,Wankhede Stadium,3,22,24,1,4.0,5.5
Ashok Sharma,Arun Jaitley Stadium,0,45,18,1,3.0,15.0
Ashok Sharma,Ekana Cricket Stadium,2,36,24,1,4.0,9.0
Ashok Sharma,New PCA Cricket Stadium,1,31,18,1,3.0,10.33
Ashok Sharma,Narendra Modi Stadium,3,121,67,3,11.17,10.83
Ashwani Kumar,Narendra Modi Stadium,4,24,24,1,4.0,6.0
Ashwani Kumar,Wankhede Stadium,2,78,36,2,6.0,13.0
Auqib Nabi,Arun Jaitley Stadium,0,42,13,1,2.17,19.35
Auqib Nabi,Eden Gardens,0,23,12,1,2.0,11.5
Auqib Nabi,HPCA Stadium,0,32,26,1,4.33,7.39
Auqib Nabi,M. Chinnaswamy Stadium,0,37,18,1,3.0,12.33
Auqib Nabi,MA Chidambaram Stadium,0,17,12,1,2.0,8.5
Avesh Khan,Ekana Cricket Stadium,0,24,12,1,2.0,12.0
Avesh Khan,Eden Gardens,1,45,24,1,4.0,11.25
Avesh Khan,M. Chinnaswamy Stadium,2,23,24,1,4.0,5.75
Avesh Khan,MA Chidambaram Stadium,1,46,24,1,4.0,11.5
Avesh Khan,New PCA Cricket Stadium,0,47,18,1,3.0,15.67
Avesh Khan,Rajiv Gandhi International Stadium,2,36,24,1,4.0,9.0
Avesh Khan,Wankhede Stadium,0,57,22,1,3.67,15.53
Axar Patel,Arun Jaitley Stadium,4,187,144,7,24.0,7.79
Axar Patel,Ekana Cricket Stadium,1,21,18,1,3.0,7.0
Axar Patel,Eden Gardens,1,38,24,1,4.0,9.5
Axar Patel,M. Chinnaswamy Stadium,2,18,18,1,3.0,6.0
Axar Patel,MA Chidambaram Stadium,1,39,24,1,4.0,9.75
Axar Patel,Rajiv Gandhi International Stadium,1,23,12,1,2.0,11.5
Axar Patel,Sawai Mansingh Stadium,1,39,24,1,4.0,9.75
Ayush Badoni,New PCA Cricket Stadium,0,14,6,1,1.0,14.0
Azmatullah Omarzai,Ekana Cricket Stadium,1,29,18,1,3.0,9.67
Azmatullah Omarzai,HPCA Stadium,2,74,48,2,8.0,9.25
Ben Dwarshuis,HPCA Stadium,2,51,24,1,4.0,12.75
Bhuvneshwar Kumar,Arun Jaitley Stadium,3,5,18,1,3.0,1.67
Bhuvneshwar Kumar,Barsapara Stadium,0,37,24,1,4.0,9.25
Bhuvneshwar Kumar,Ekana Cricket Stadium,0,34,24,1,4.0,8.5
Bhuvneshwar Kumar,HPCA Stadium,4,66,48,2,8.0,8.25
Bhuvneshwar Kumar,M. Chinnaswamy Stadium,11,159,121,5,20.17,7.88
Bhuvneshwar Kumar,Narendra Modi Stadium,5,57,48,2,8.0,7.12
Bhuvneshwar Kumar,Rajiv Gandhi International Stadium,0,51,24,1,4.0,12.75
Bhuvneshwar Kumar,Shaheed Veer Narayan Singh Stadium,6,57,48,2,8.0,7.12
Bhuvneshwar Kumar,Wankhede Stadium,0,38,24,1,4.0,9.5
Bishnoi,Eden Gardens,0,6,1,1,0.17,35.29
Blessing Muzarabani,Eden Gardens,4,45,24,1,4.0,11.25
Blessing Muzarabani,Wankhede Stadium,1,34,18,1,3.0,11.33
Brijesh Sharma,Arun Jaitley Stadium,2,44,24,1,4.0,11.0
Brijesh Sharma,Barsapara Stadium,3,55,42,2,7.0,7.86
Brijesh Sharma,Ekana Cricket Stadium,2,18,18,1,3.0,6.0
Brijesh Sharma,Eden Gardens,0,21,10,1,1.67,12.57
Brijesh Sharma,New PCA Cricket Stadium,1,117,65,3,10.83,10.8
Brijesh Sharma,Sawai Mansingh Stadium,4,171,93,4,15.5,11.03
Brijesh Sharma,Wankhede Stadium,2,26,25,1,4.17,6.24
Cameron Green,Arun Jaitley Stadium,1,12,6,1,1.0,12.0
Cameron Green,Ekana Cricket Stadium,1,12,12,1,2.0,6.0
Cameron Green,Eden Gardens,4,129,73,5,12.17,10.6
Cameron Green,MA Chidambaram Stadium,0,31,12,1,2.0,15.5
Cameron Green,Rajiv Gandhi International Stadium,1,34,18,1,3.0,11.33
Cameron Green,Shaheed Veer Narayan Singh Stadium,0,22,12,1,2.0,11.0
Corbin Bosch,Arun Jaitley Stadium,1,39,19,1,3.17,12.3
Corbin Bosch,Eden Gardens,3,30,19,1,3.17,9.46
Corbin Bosch,HPCA Stadium,1,43,24,1,4.0,10.75
Corbin Bosch,Shaheed Veer Narayan Singh Stadium,4,26,24,1,4.0,6.5
Corbin Bosch,Wankhede Stadium,4,59,37,2,6.17,9.56
Dasun Shanaka,Arun Jaitley Stadium,1,31,18,1,3.0,10.33
Dasun Shanaka,Sawai Mansingh Stadium,0,10,6,1,1.0,10.0
Dasun Shanaka,Wankhede Stadium,0,21,12,1,2.0,10.5
David Payne,Eden Gardens,0,35,12,1,2.0,17.5
David Payne,M. Chinnaswamy Stadium,2,35,18,1,3.0,11.67
Deepak Chahar,Arun Jaitley Stadium,1,20,18,1,3.0,6.67
Deepak Chahar,Barsapara Stadium,0,22,6,1,1.0,22.0
Deepak Chahar,Eden Gardens,1,23,18,1,3.0,7.67
Deepak Chahar,HPCA Stadium,2,40,24,1,4.0,10.0
Deepak Chahar,Shaheed Veer Narayan Singh Stadium,2,33,24,1,4.0,8.25
Deepak Chahar,Wankhede Stadium,2,131,63,3,10.5,12.48
Digvesh Singh Rathi,Ekana Cricket Stadium,1,193,114,5,19.0,10.16
Digvesh Singh Rathi,Eden Gardens,1,26,24,1,4.0,6.5
Digvesh Singh Rathi,M. Chinnaswamy Stadium,0,51,24,1,4.0,12.75
Digvesh Singh Rathi,MA Chidambaram Stadium,2,45,24,1,4.0,11.25
Digvesh Singh Rathi,Rajiv Gandhi International Stadium,1,46,24,1,4.0,11.5
Digvesh Singh Rathi,Sawai Mansingh Stadium,0,38,24,1,4.0,9.5
Dilshan Madushanka,Rajiv Gandhi International Stadium,1,35,24,1,4.0,8.75
Donovan Ferreira,Arun Jaitley Stadium,0,16,6,1,1.0,16.0
Donovan Ferreira,Sawai Mansingh Stadium,1,25,12,2,2.0,12.5
Dushmantha Chameera,Arun Jaitley Stadium,0,18,12,1,2.0,9.0
Eshan Malinga,Eden Gardens,3,14,12,1,2.0,7.0
Eshan Malinga,M. Chinnaswamy Stadium,0,35,12,1,2.0,17.5
Eshan Malinga,MA Chidambaram Stadium,1,26,24,1,4.0,6.5
Eshan Malinga,New PCA Cricket Stadium,1,86,42,2,7.0,12.29
Eshan Malinga,Narendra Modi Stadium,0,46,24,1,4.0,11.5
Eshan Malinga,Rajiv Gandhi International Stadium,13,233,164,7,27.33,8.53
Eshan Malinga,Sawai Mansingh Stadium,2,38,24,1,4.0,9.5
Eshan Malinga,Wankhede Stadium,1,30,24,1,4.0,7.5
George Linde,Ekana Cricket Stadium,1,46,30,2,5.0,9.2
George Linde,M. Chinnaswamy Stadium,0,9,7,1,1.17,7.69
Gurjapneet Singh,Arun Jaitley Stadium,1,29,24,1,4.0,7.25
Gurjapneet Singh,Ekana Cricket Stadium,0,34,18,1,3.0,11.33
Gurjapneet Singh,MA Chidambaram Stadium,1,98,49,3,8.17,12.0
Gurjapneet Singh,Narendra Modi Stadium,0,30,24,1,4.0,7.5
Gurjapneet Singh,Rajiv Gandhi International Stadium,1,34,24,1,4.0,8.5
Gurjapneet Singh,Wankhede Stadium,1,7,12,1,2.0,3.5
Hardik Pandya,Barsapara Stadium,0,17,12,1,2.0,8.5
Hardik Pandya,Eden Gardens,0,14,12,1,2.0,7.0
Hardik Pandya,MA Chidambaram Stadium,0,17,12,1,2.0,8.5
Hardik Pandya,Narendra Modi Stadium,1,18,6,1,1.0,18.0
Hardik Pandya,Wankhede Stadium,3,193,96,5,16.0,12.06
Harpreet Brar,HPCA Stadium,2,35,24,1,4.0,8.75
Harpreet Brar,New PCA Cricket Stadium,0,25,24,1,4.0,6.25
Harsh Dubey,Eden Gardens,1,17,12,1,2.0,8.5
Harsh Dubey,M. Chinnaswamy Stadium,1,35,18,1,3.0,11.67
Harsh Dubey,New PCA Cricket Stadium,1,38,24,1,4.0,9.5
Harsh Dubey,Rajiv Gandhi International Stadium,5,89,60,4,10.0,8.9
Harsh Dubey,Wankhede Stadium,0,50,18,1,3.0,16.67
Harshal Patel,M. Chinnaswamy Stadium,1,43,17,1,2.83,15.19
Harshal Patel,New PCA Cricket Stadium,0,39,12,1,2.0,19.5
Harshal Patel,Rajiv Gandhi International Stadium,0,70,55,3,9.17,7.63
Jacob Duffy,HPCA Stadium,4,40,25,1,4.17,9.59
Jacob Duffy,M. Chinnaswamy Stadium,6,82,49,2,8.17,10.04
Jacob Duffy,Narendra Modi Stadium,0,38,24,1,4.0,9.5
Jacob Duffy,Shaheed Veer Narayan Singh Stadium,0,48,24,1,4.0,12.0
Jacob Duffy,Wankhede Stadium,1,58,24,1,4.0,14.5
Jamie Overton,Arun Jaitley Stadium,1,5,6,1,1.0,5.0
Jamie Overton,Barsapara Stadium,0,14,6,1,1.0,14.0
Jamie Overton,M. Chinnaswamy Stadium,1,43,18,1,3.0,14.33
Jamie Overton,MA Chidambaram Stadium,8,140,102,5,17.0,8.24
Jamie Overton,Rajiv Gandhi International Stadium,3,38,24,1,4.0,9.5
Jamie Overton,Wankhede Stadium,1,14,12,1,2.0,7.0
Jason Holder,Eden Gardens,0,39,25,1,4.17,9.35
Jason Holder,HPCA Stadium,2,39,24,1,4.0,9.75
Jason Holder,M. Chinnaswamy Stadium,1,35,23,1,3.83,9.14
Jason Holder,MA Chidambaram Stadium,0,23,24,1,4.0,5.75
Jason Holder,New PCA Cricket Stadium,2,27,24,1,4.0,6.75
Jason Holder,Narendra Modi Stadium,9,117,96,5,16.0,7.31
Jason Holder,Sawai Mansingh Stadium,3,12,15,1,2.5,4.8
Jasprit Bumrah,Arun Jaitley Stadium,1,21,24,1,4.0,5.25
Jasprit Bumrah,Barsapara Stadium,0,32,18,1,3.0,10.67
Jasprit Bumrah,Eden Gardens,1,26,24,1,4.0,6.5
Jasprit Bumrah,HPCA Stadium,0,36,24,1,4.0,9.0
Jasprit Bumrah,MA Chidambaram Stadium,1,20,18,1,3.0,6.67
Jasprit Bumrah,Narendra Modi Stadium,1,15,18,1,3.0,5.0
Jasprit Bumrah,Shaheed Veer Narayan Singh Stadium,0,23,24,1,4.0,5.75
Jasprit Bumrah,Wankhede Stadium,1,246,151,6,25.17,9.77
Jaydev Unadkat,Eden Gardens,3,21,18,1,3.0,7.0
Jaydev Unadkat,M. Chinnaswamy Stadium,1,34,18,1,3.0,11.33
Jaydev Unadkat,New PCA Cricket Stadium,0,40,18,1,3.0,13.33
Jaydev Unadkat,Rajiv Gandhi International Stadium,0,50,23,1,3.83,13.05
Jofra Archer,Arun Jaitley Stadium,2,35,24,1,4.0,8.75
Jofra Archer,Barsapara Stadium,6,70,54,3,9.0,7.78
Jofra Archer,Ekana Cricket Stadium,4,20,24,1,4.0,5.0
Jofra Archer,Eden Gardens,1,35,24,1,4.0,8.75
Jofra Archer,New PCA Cricket Stadium,5,147,72,3,12.0,12.25
Jofra Archer,Narendra Modi Stadium,0,39,24,1,4.0,9.75
Jofra Archer,Rajiv Gandhi International Stadium,2,37,24,1,4.0,9.25
Jofra Archer,Sawai Mansingh Stadium,6,165,91,4,15.17,10.88
Jofra Archer,Wankhede Stadium,3,17,24,1,4.0,4.25
Josh Hazlewood,Arun Jaitley Stadium,4,12,21,1,3.5,3.43
Josh Hazlewood,Barsapara Stadium,2,45,24,1,4.0,11.25
Josh Hazlewood,Ekana Cricket Stadium,1,49,24,1,4.0,12.25
Josh Hazlewood,HPCA Stadium,2,79,48,2,8.0,9.88
Josh Hazlewood,M. Chinnaswamy Stadium,2,101,72,3,12.0,8.42
Josh Hazlewood,Narendra Modi Stadium,2,93,48,2,8.0,11.62
Josh Hazlewood,Rajiv Gandhi International Stadium,0,54,24,1,4.0,13.5
Josh Hazlewood,Shaheed Veer Narayan Singh Stadium,2,72,48,2,8.0,9.0
Kagiso Rabada,Arun Jaitley Stadium,0,32,24,1,4.0,8.0
Kagiso Rabada,Ekana Cricket Stadium,1,54,24,1,4.0,13.5
Kagiso Rabada,Eden Gardens,0,41,24,1,4.0,10.25
Kagiso Rabada,HPCA Stadium,2,54,24,1,4.0,13.5
Kagiso Rabada,M. Chinnaswamy Stadium,0,46,24,1,4.0,11.5
Kagiso Rabada,MA Chidambaram Stadium,3,25,24,1,4.0,6.25
Kagiso Rabada,New PCA Cricket Stadium,3,69,42,2,7.0,9.86
Kagiso Rabada,Narendra Modi Stadium,18,277,184,8,30.67,9.03
Kagiso Rabada,Sawai Mansingh Stadium,2,33,18,1,3.0,11.0
Kartik Tyagi,Arun Jaitley Stadium,3,25,24,1,4.0,6.25
Kartik Tyagi,Ekana Cricket Stadium,1,43,26,1,4.33,9.93
Kartik Tyagi,Eden Gardens,7,254,139,6,23.17,10.96
Kartik Tyagi,MA Chidambaram Stadium,2,35,24,1,4.0,8.75
Kartik Tyagi,Narendra Modi Stadium,0,41,24,1,4.0,10.25
Kartik Tyagi,Rajiv Gandhi International Stadium,2,30,24,1,4.0,7.5
Kartik Tyagi,Shaheed Veer Narayan Singh Stadium,3,32,24,1,4.0,8.0
Kartik Tyagi,Wankhede Stadium,1,44,25,1,4.17,10.55
Khaleel Ahmed,Barsapara Stadium,0,18,18,1,3.0,6.0
Khaleel Ahmed,M. Chinnaswamy Stadium,0,38,24,1,4.0,9.5
Khaleel Ahmed,MA Chidambaram Stadium,2,92,59,3,9.83,9.36
Krish Bhagat,MA Chidambaram Stadium,0,22,12,1,2.0,11.0
Krish Bhagat,Narendra Modi Stadium,0,10,12,1,2.0,5.0
Krish Bhagat,Wankhede Stadium,0,31,12,1,2.0,15.5
Krunal Pandya,Arun Jaitley Stadium,1,9,12,1,2.0,4.5
Krunal Pandya,Barsapara Stadium,2,30,24,1,4.0,7.5
Krunal Pandya,Ekana Cricket Stadium,1,31,24,1,4.0,7.75
Krunal Pandya,HPCA Stadium,2,43,39,2,6.5,6.62
Krunal Pandya,M. Chinnaswamy Stadium,6,175,103,5,17.17,10.19
Krunal Pandya,Narendra Modi Stadium,1,23,24,1,4.0,5.75
Krunal Pandya,Rajiv Gandhi International Stadium,1,24,12,1,2.0,12.0
Krunal Pandya,Shaheed Veer Narayan Singh Stadium,0,65,42,2,7.0,9.29
Krunal Pandya,Wankhede Stadium,1,28,24,1,4.0,7.0
Kuldeep Yadav,Arun Jaitley Stadium,3,195,102,5,17.0,11.47
Kuldeep Yadav,Ekana Cricket Stadium,2,31,24,1,4.0,7.75
Kuldeep Yadav,Eden Gardens,3,29,24,1,4.0,7.25
Kuldeep Yadav,M. Chinnaswamy Stadium,2,33,24,1,4.0,8.25
Kuldeep Yadav,MA Chidambaram Stadium,0,24,12,1,2.0,12.0
Kuldeep Yadav,Rajiv Gandhi International Stadium,0,30,12,1,2.0,15.0
Kuldeep Yadav,Sawai Mansingh Stadium,0,42,24,1,4.0,10.5
Kulwant Khejroliya,HPCA Stadium,0,31,14,1,2.33,13.3
Kyle Jamieson,Arun Jaitley Stadium,1,42,18,1,3.0,14.0
Kyle Jamieson,Sawai Mansingh Stadium,1,48,24,1,4.0,12.0
Lockie Ferguson,HPCA Stadium,0,43,18,1,3.0,14.33
Lockie Ferguson,New PCA Cricket Stadium,0,57,24,1,4.0,14.25
Lockie Ferguson,Rajiv Gandhi International Stadium,1,41,24,1,4.0,10.25
Lungi Ngidi,Arun Jaitley Stadium,5,121,108,5,18.0,6.72
Lungi Ngidi,Ekana Cricket Stadium,3,27,22,1,3.67,7.36
Lungi Ngidi,Eden Gardens,3,27,22,1,3.67,7.36
Lungi Ngidi,HPCA Stadium,0,46,24,1,4.0,11.5
Lungi Ngidi,M. Chinnaswamy Stadium,2,39,24,1,4.0,9.75
Lungi Ngidi,MA Chidambaram Stadium,0,41,24,1,4.0,10.25
Lungi Ngidi,Rajiv Gandhi International Stadium,0,41,24,1,4.0,10.25
Madhav Tiwari,Arun Jaitley Stadium,2,26,24,1,4.0,6.5
Madhav Tiwari,Eden Gardens,0,20,12,1,2.0,10.0
Madhav Tiwari,HPCA Stadium,2,44,24,1,4.0,11.0
Manav Suthar,M. Chinnaswamy Stadium,1,19,12,1,2.0,9.5
Manav Suthar,MA Chidambaram Stadium,1,22,18,1,3.0,7.33
Manav Suthar,Narendra Modi Stadium,0,27,6,1,1.0,27.0
Manimaran Siddharth,Eden Gardens,1,34,24,1,4.0,8.5
Manimaran Siddharth,New PCA Cricket Stadium,2,35,18,1,3.0,11.67
Manimaran Siddharth,Rajiv Gandhi International Stadium,1,29,24,1,4.0,7.25
Manimaran Siddharth,Wankhede Stadium,2,47,24,1,4.0,11.75
Marco Jansen,Arun Jaitley Stadium,0,45,24,1,4.0,11.25
Marco Jansen,Ekana Cricket Stadium,2,35,24,1,4.0,8.75
Marco Jansen,HPCA Stadium,1,100,48,2,8.0,12.5
Marco Jansen,MA Chidambaram Stadium,1,43,24,1,4.0,10.75
Marco Jansen,New PCA Cricket Stadium,3,140,92,4,15.33,9.13
Marco Jansen,Narendra Modi Stadium,1,33,24,1,4.0,8.25
Marco Jansen,Rajiv Gandhi International Stadium,0,62,24,1,4.0,15.5
Marco Jansen,Wankhede Stadium,1,34,24,1,4.0,8.5
Marcus Stoinis,Arun Jaitley Stadium,0,11,6,1,1.0,11.0
Marcus Stoinis,HPCA Stadium,1,44,18,1,3.0,14.67
Marcus Stoinis,MA Chidambaram Stadium,0,17,6,1,1.0,17.0
Marcus Stoinis,Narendra Modi Stadium,1,26,17,1,2.83,9.19
